 res,strategy,transformer_id,transformer,sector,transformer_code
1004,AGRC: Expand conservation agriculture,5,AGRC: Expand conservation agriculture,AF,TFR:AGRC:INC_CONSERVATION_AGRICULTURE
1005,AGRC: Improve crop productivity,6,AGRC: Improve crop productivity,AF,TFR:AGRC:INC_PRODUCTIVITY
1007,AGRC: Improve rice management,1,AGRC: Improve rice management,AF,TFR:AGRC:DEC_CH4_RICE
1010,FRST: Stop deforestation,10,LNDU: Stop deforestation,AF,TFR:LNDU:DEC_DEFORESTATION
1011,LNDU: Expand silvopasture,15,LNDU: Expand silvopasture,AF,TFR:LNDU:INC_SILVOPASTURE
1013,LNDU: Expand sustainable grazing practices,12,LNDU: Expand sustainable grazing practices,AF,TFR:LNDU:DEC_SOC_LOSS_PASTURES
1015,LNDU: Rehabilitate degraded land,13,LNDU: Rehabilitate degraded land,AF,TFR:LNDU:INC_LAND_REHABILITIATION
1016,LSMM: Improve manure management for cattle and pigs,18,LSMM: Improve manure management for cattle and pigs,AF,TFR:LSMM:INC_MANAGEMENT_CATTLE_PIGS
1017,LSMM: Improve manure management for other animals,19,LSMM: Improve manure management for other animals,AF,TFR:LSMM:INC_MANAGEMENT_OTHER
1018,LSMM: Improve manure management for poultry,20,LSMM: Improve manure management for poultry,AF,TFR:LSMM:INC_MANAGEMENT_POULTRY
1019,LSMM: Increase biogas capture at anaerobic decomposition facilities,17,LSMM: Increase biogas capture at anaerobic decomposition facilities,AF,TFR:LSMM:INC_CAPTURE_BIOGAS
1024,LVST: Increase livestock productivity,23,LVST: Increase livestock productivity,AF,TFR:LVST:INC_PRODUCTIVITY
1026,LVST: Reduce enteric fermentation,21,LVST: Reduce enteric fermentation,AF,TFR:LVST:DEC_ENTERIC_FERMENTATION
2002,TRWW: Increase biogas capture,26,TRWW: Increase biogas capture,CE,TFR:TRWW:INC_CAPTURE_BIOGAS
2003,TRWW: Increase septic compliance,27,TRWW: Increase septic compliance,CE,TFR:TRWW:INC_COMPLIANCE_SEPTIC
2005,WALI: Improved industrial wastewater treatment,28,WALI: Improved industrial wastewater treatment,CE,TFR:WALI:INC_TREATMENT_INDUSTRIAL
2006,WALI: Improved rural wastewater treatment,29,WALI: Improved rural wastewater treatment,CE,TFR:WALI:INC_TREATMENT_RURAL
2007,WALI: Improved urban wastewater treatment,30,WALI: Improved urban wastewater treatment,CE,TFR:WALI:INC_TREATMENT_URBAN
2009,WASO: Biogas for energy production,34,WASO: Biogas for energy production,CE,TFR:WASO:INC_ENERGY_FROM_BIOGAS
