Pathway,Year1,Sector,Investments
LTS,2050,LULUCF - Forest land,0.618681657
LTS,2049,LULUCF - Forest land,0.61136557
LTS,2048,LULUCF - Forest land,0.60091412
LTS,2047,LULUCF - Forest land,0.586657008
LTS,2046,LULUCF - Forest land,0.5715694
LTS,2045,LULUCF - Forest land,0.555757496
LTS,2044,LULUCF - Forest land,0.539297161
LTS,2043,LULUCF - Forest land,0.522170123
LTS,2042,LULUCF - Forest land,0.504289078
LTS,2041,LULUCF - Forest land,0.485581517
LTS,2040,LULUCF - Forest land,0.466468993
LTS,2039,LULUCF - Forest land,0.446963176
LTS,2038,LULUCF - Forest land,0.42717455
LTS,2037,LULUCF - Forest land,0.407291709
LTS,2036,LULUCF - Forest land,0.387588224
LTS,2035,LULUCF - Forest land,0.368375238
LTS,2034,LULUCF - Forest land,0.349752287
LTS,2033,LULUCF - Forest land,0.331610225
LTS,2032,LULUCF - Forest land,0.31369838
LTS,2031,LULUCF - Forest land,0.295294369
LTS,2030,LULUCF - Forest land,0.276118851
LTS,2029,LULUCF - Forest land,0.255997456
LTS,2028,LULUCF - Forest land,0.234813993
LTS,2027,LULUCF - Forest land,0.212220316
LTS,2026,LULUCF - Forest land,0.187129456
LTS,2025,LULUCF - Forest land,0.155165272
LTS,2024,LULUCF - Forest land,0
LTS,2023,LULUCF - Forest land,0
LTS,2050,AG - Livestock (manure),0
LTS,2049,AG - Livestock (manure),0
LTS,2048,AG - Livestock (manure),0
LTS,2047,AG - Livestock (manure),0
LTS,2046,AG - Livestock (manure),0
LTS,2045,AG - Livestock (manure),0
LTS,2044,AG - Livestock (manure),0
LTS,2043,AG - Livestock (manure),0
LTS,2042,AG - Livestock (manure),0
LTS,2041,AG - Livestock (manure),0
LTS,2040,AG - Livestock (manure),0
LTS,2039,AG - Livestock (manure),0
LTS,2038,AG - Livestock (manure),0
LTS,2037,AG - Livestock (manure),0
LTS,2036,AG - Livestock (manure),0
LTS,2035,AG - Livestock (manure),0
LTS,2034,AG - Livestock (manure),0
LTS,2033,AG - Livestock (manure),0
LTS,2032,AG - Livestock (manure),0
LTS,2031,AG - Livestock (manure),0
LTS,2030,AG - Livestock (manure),0
LTS,2029,AG - Livestock (manure),0
LTS,2028,AG - Livestock (manure),0
LTS,2027,AG - Livestock (manure),0
LTS,2026,AG - Livestock (manure),0
LTS,2025,AG - Livestock (manure),0
LTS,2024,AG - Livestock (manure),0
LTS,2023,AG - Livestock (manure),0
LTS,2050,Waste - Wastewater (liquid waste),0
LTS,2049,Waste - Wastewater (liquid waste),0
LTS,2048,Waste - Wastewater (liquid waste),0
LTS,2047,Waste - Wastewater (liquid waste),0
LTS,2046,Waste - Wastewater (liquid waste),0
LTS,2045,Waste - Wastewater (liquid waste),0
LTS,2044,Waste - Wastewater (liquid waste),0
LTS,2043,Waste - Wastewater (liquid waste),0
LTS,2042,Waste - Wastewater (liquid waste),0
LTS,2041,Waste - Wastewater (liquid waste),0
LTS,2040,Waste - Wastewater (liquid waste),0
LTS,2039,Waste - Wastewater (liquid waste),0
LTS,2038,Waste - Wastewater (liquid waste),0
LTS,2037,Waste - Wastewater (liquid waste),0
LTS,2036,Waste - Wastewater (liquid waste),0
LTS,2035,Waste - Wastewater (liquid waste),0
LTS,2034,Waste - Wastewater (liquid waste),0
LTS,2033,Waste - Wastewater (liquid waste),0
LTS,2032,Waste - Wastewater (liquid waste),0
LTS,2031,Waste - Wastewater (liquid waste),0
LTS,2030,Waste - Wastewater (liquid waste),0
LTS,2029,Waste - Wastewater (liquid waste),0
LTS,2028,Waste - Wastewater (liquid waste),0
LTS,2027,Waste - Wastewater (liquid waste),0
LTS,2026,Waste - Wastewater (liquid waste),0
LTS,2025,Waste - Wastewater (liquid waste),0
LTS,2024,Waste - Wastewater (liquid waste),0
LTS,2023,Waste - Wastewater (liquid waste),0
LTS,2050,Waste - Wastewater treatment (trww),2.939344669
LTS,2049,Waste - Wastewater treatment (trww),2.717847077
LTS,2048,Waste - Wastewater treatment (trww),2.508573465
LTS,2047,Waste - Wastewater treatment (trww),2.310933374
LTS,2046,Waste - Wastewater treatment (trww),2.124362661
LTS,2045,Waste - Wastewater treatment (trww),1.948323355
LTS,2044,Waste - Wastewater treatment (trww),1.782304111
LTS,2043,Waste - Wastewater treatment (trww),1.625814745
LTS,2042,Waste - Wastewater treatment (trww),1.478388492
LTS,2041,Waste - Wastewater treatment (trww),1.339580981
LTS,2040,Waste - Wastewater treatment (trww),1.20896975
LTS,2039,Waste - Wastewater treatment (trww),1.086152253
LTS,2038,Waste - Wastewater treatment (trww),0.970499411
LTS,2037,Waste - Wastewater treatment (trww),0.861734072
LTS,2036,Waste - Wastewater treatment (trww),0.759583835
LTS,2035,Waste - Wastewater treatment (trww),0.663781493
LTS,2034,Waste - Wastewater treatment (trww),0.574064866
LTS,2033,Waste - Wastewater treatment (trww),0.490177275
LTS,2032,Waste - Wastewater treatment (trww),0.411867749
LTS,2031,Waste - Wastewater treatment (trww),0.338890885
LTS,2030,Waste - Wastewater treatment (trww),0.271007112
LTS,2029,Waste - Wastewater treatment (trww),0.207982719
LTS,2028,Waste - Wastewater treatment (trww),0.149589449
LTS,2027,Waste - Wastewater treatment (trww),0.095644305
LTS,2026,Waste - Wastewater treatment (trww),0.045855397
LTS,2025,Waste - Wastewater treatment (trww),0
LTS,2024,Waste - Wastewater treatment (trww),0
LTS,2023,Waste - Wastewater treatment (trww),0
LTS,2050,Waste - Solid waste,0.387891993
LTS,2049,Waste - Solid waste,0.373630011
LTS,2048,Waste - Solid waste,0.359118038
LTS,2047,Waste - Solid waste,0.344110435
LTS,2046,Waste - Solid waste,0.328869135
LTS,2045,Waste - Solid waste,0.313393767
LTS,2044,Waste - Solid waste,0.297685268
LTS,2043,Waste - Solid waste,0.281742972
LTS,2042,Waste - Solid waste,0.265565984
