"Economic.Sector","Year","Jobs","Pathway"
"Agriculture",2022,2966750.631,"Baseline"
"Post and Telecommunications",2022,201135.636,"Baseline"
"Financial Intermediation and Business Activities",2022,402271.272,"Baseline"
"Fishing",2022,170965.2906,"Baseline"
"Wood and Paper",2022,50283.909,"Baseline"
"Retail Trade",2022,854826.453,"Baseline"
"Textiles and Wearing Apparel",2022,362044.1448,"Baseline"
"Education, Health and Other Services",2022,522952.6536,"Baseline"
"Hotels and Restaurants",2022,331873.7994,"Baseline"
"Mining and Quarrying",2022,110624.5998,"Baseline"
"Public Administration",2022,492782.3082,"Baseline"
"Re-export & Re-import",2022,10056.7818,"Baseline"
"Electrical and Machinery",2022,110624.5998,"Baseline"
"Wholesale Trade",2022,452555.181,"Baseline"
"Other Manufacturing",2022,100567.818,"Baseline"
"Private Households",2022,140794.9452,"Baseline"
"Electricity, Gas and Water",2022,100567.818,"Baseline"
"Metal Products",2022,130738.1634,"Baseline"
"Maintenance and Repair",2022,392214.4902,"Baseline"
"Recycling",2022,10056.7818,"Baseline"
"Transport Equipment",2022,40227.1272,"Baseline"
"Construction",2022,1126359.5616,"Baseline"
"Others",2022,20113.5636,"Baseline"
"Transport",2022,482725.5264,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2022,251419.545,"Baseline"
"Food & Beverages",2022,221249.1996,"Baseline"
"Post and Telecommunications",2023,203385.123949745,"Baseline"
"Mining and Quarrying",2023,111861.81817236,"Baseline"
"Other Manufacturing",2023,101692.561974872,"Baseline"
"Electricity, Gas and Water",2023,101692.561974872,"Baseline"
"Construction",2023,1138956.69411857,"Baseline"
"Wood and Paper",2023,50846.2809874362,"Baseline"
"Others",2023,20338.5123949745,"Baseline"
"Re-export & Re-import",2023,10169.2561974872,"Baseline"
"Transport Equipment",2023,40677.024789949,"Baseline"
"Education, Health and Other Services",2023,528801.322269337,"Baseline"
"Agriculture",2023,2999930.57825874,"Baseline"
"Textiles and Wearing Apparel",2023,366093.223109541,"Baseline"
"Transport",2023,488124.297479388,"Baseline"
"Electrical and Machinery",2023,111861.81817236,"Baseline"
"Fishing",2023,172877.355357283,"Baseline"
"Recycling",2023,10169.2561974872,"Baseline"
"Retail Trade",2023,864386.776786416,"Baseline"
"Financial Intermediation and Business Activities",2023,406770.24789949,"Baseline"
"Petroleum, Chemical and Non-Metallic Mineral Products",2023,254231.404937181,"Baseline"
"Hotels and Restaurants",2023,335585.454517079,"Baseline"
"Wholesale Trade",2023,457616.528886926,"Baseline"
"Private Households",2023,142369.586764821,"Baseline"
"Metal Products",2023,132200.330567334,"Baseline"
"Public Administration",2023,498293.553676875,"Baseline"
"Maintenance and Repair",2023,396600.991702003,"Baseline"
"Food & Beverages",2023,223723.636344719,"Baseline"
"Wood and Paper",2024,51407.2864285714,"Baseline"
"Fishing",2024,174784.773857143,"Baseline"
"Transport Equipment",2024,41125.8291428571,"Baseline"
"Re-export & Re-import",2024,10281.4572857143,"Baseline"
"Agriculture",2024,3033029.89928571,"Baseline"
"Post and Telecommunications",2024,205629.145714286,"Baseline"
"Textiles and Wearing Apparel",2024,370132.462285714,"Baseline"
"Hotels and Restaurants",2024,339288.090428571,"Baseline"
"Retail Trade",2024,873923.869285714,"Baseline"
"Other Manufacturing",2024,102814.572857143,"Baseline"
"Electricity, Gas and Water",2024,102814.572857143,"Baseline"
"Wholesale Trade",2024,462665.577857143,"Baseline"
"Mining and Quarrying",2024,113096.030142857,"Baseline"
"Others",2024,20562.9145714286,"Baseline"
